"","subject","flnm","time_stamp","eye","point","offset_deg","diff"
"7118",27,"C:/Data/WebEye/35.asc",9562789,"RIGHT",7,0.3,0
"7215",27,"C:/Data/WebEye/35.asc",9562789,"RIGHT",8,0.2,0
"7310",27,"C:/Data/WebEye/35.asc",9852245,"RIGHT",0,0.2,289456
"7410",27,"C:/Data/WebEye/35.asc",9852245,"RIGHT",1,0.54,0
"7510",27,"C:/Data/WebEye/35.asc",9852245,"RIGHT",2,0.79,0
"768",27,"C:/Data/WebEye/35.asc",9852245,"RIGHT",3,0.42,0
"778",27,"C:/Data/WebEye/35.asc",9852245,"RIGHT",4,1.1,0
"788",27,"C:/Data/WebEye/35.asc",9852245,"RIGHT",5,0.35,0
"798",27,"C:/Data/WebEye/35.asc",9852245,"RIGHT",6,0.28,0
"808",27,"C:/Data/WebEye/35.asc",9852245,"RIGHT",7,0.57,0
"8113",27,"C:/Data/WebEye/35.asc",9852245,"RIGHT",8,1.24,0
"1102",28,"C:/Data/WebEye/36.asc",15387200,"RIGHT",0,0.11,0
"2101",28,"C:/Data/WebEye/36.asc",15387200,"RIGHT",1,0.39,0
"3102",28,"C:/Data/WebEye/36.asc",15387200,"RIGHT",2,0.15,0
"4103",28,"C:/Data/WebEye/36.asc",15387200,"RIGHT",3,0.28,0
"5103",28,"C:/Data/WebEye/36.asc",15387200,"RIGHT",4,0.53,0
"6103",28,"C:/Data/WebEye/36.asc",15387200,"RIGHT",5,0.33,0
"760",28,"C:/Data/WebEye/36.asc",15387200,"RIGHT",6,0.66,0
"836",28,"C:/Data/WebEye/36.asc",15387200,"RIGHT",7,0.5,0
"930",28,"C:/Data/WebEye/36.asc",15387200,"RIGHT",8,0.38,0
"1033",28,"C:/Data/WebEye/36.asc",15563099,"RIGHT",0,0.02,175899
"1126",28,"C:/Data/WebEye/36.asc",15563099,"RIGHT",1,0.46,0
"1221",28,"C:/Data/WebEye/36.asc",15563099,"RIGHT",2,0.39,0
"1319",28,"C:/Data/WebEye/36.asc",15563099,"RIGHT",3,0.2,0
"1419",28,"C:/Data/WebEye/36.asc",15563099,"RIGHT",4,0.58,0
"1519",28,"C:/Data/WebEye/36.asc",15563099,"RIGHT",5,0.86,0
"1619",28,"C:/Data/WebEye/36.asc",15563099,"RIGHT",6,0.24,0
"1719",28,"C:/Data/WebEye/36.asc",15563099,"RIGHT",7,0.72,0
"1819",28,"C:/Data/WebEye/36.asc",15563099,"RIGHT",8,0.23,0
"1915",28,"C:/Data/WebEye/36.asc",15695807,"RIGHT",0,0.19,132708
"2015",28,"C:/Data/WebEye/36.asc",15695807,"RIGHT",1,0.41,0
"2119",28,"C:/Data/WebEye/36.asc",15695807,"RIGHT",2,0.28,0
"2216",28,"C:/Data/WebEye/36.asc",15695807,"RIGHT",3,0.37,0
"2315",28,"C:/Data/WebEye/36.asc",15695807,"RIGHT",4,0.76,0
"2416",28,"C:/Data/WebEye/36.asc",15695807,"RIGHT",5,0.2,0
"2516",28,"C:/Data/WebEye/36.asc",15695807,"RIGHT",6,0.26,0
"2616",28,"C:/Data/WebEye/36.asc",15695807,"RIGHT",7,0.26,0
"2716",28,"C:/Data/WebEye/36.asc",15695807,"RIGHT",8,0.2,0
"2818",28,"C:/Data/WebEye/36.asc",15832625,"RIGHT",0,0.29,136818
"2918",28,"C:/Data/WebEye/36.asc",15832625,"RIGHT",1,0.44,0
"3018",28,"C:/Data/WebEye/36.asc",15832625,"RIGHT",2,0.24,0
"3122",28,"C:/Data/WebEye/36.asc",15832625,"RIGHT",3,0.36,0
"3219",28,"C:/Data/WebEye/36.asc",15832625,"RIGHT",4,0.16,0
"3318",28,"C:/Data/WebEye/36.asc",15832625,"RIGHT",5,0.28,0
"3418",28,"C:/Data/WebEye/36.asc",15832625,"RIGHT",6,0.49,0
"3518",28,"C:/Data/WebEye/36.asc",15832625,"RIGHT",7,0.45,0
"3618",28,"C:/Data/WebEye/36.asc",15832625,"RIGHT",8,0.24,0
"3721",28,"C:/Data/WebEye/36.asc",16175198,"RIGHT",0,0.25,342573
"3821",28,"C:/Data/WebEye/36.asc",16175198,"RIGHT",1,0.27,0
"3921",28,"C:/Data/WebEye/36.asc",16175198,"RIGHT",2,0.32,0
"4021",28,"C:/Data/WebEye/36.asc",16175198,"RIGHT",3,0.27,0
"4124",28,"C:/Data/WebEye/36.asc",16175198,"RIGHT",4,0.17,0
"4222",28,"C:/Data/WebEye/36.asc",16175198,"RIGHT",5,0.38,0
"4321",28,"C:/Data/WebEye/36.asc",16175198,"RIGHT",6,0.2,0
"4421",28,"C:/Data/WebEye/36.asc",16175198,"RIGHT",7,0.21,0
"4521",28,"C:/Data/WebEye/36.asc",16175198,"RIGHT",8,0.05,0
"4622",28,"C:/Data/WebEye/36.asc",16352259,"RIGHT",0,0.19,177061
"4722",28,"C:/Data/WebEye/36.asc",16352259,"RIGHT",1,0.15,0
"4822",28,"C:/Data/WebEye/36.asc",16352259,"RIGHT",2,0.26,0
"4922",28,"C:/Data/WebEye/36.asc",16352259,"RIGHT",3,0.19,0
"5022",28,"C:/Data/WebEye/36.asc",16352259,"RIGHT",4,0.41,0
"5125",28,"C:/Data/WebEye/36.asc",16352259,"RIGHT",5,0.17,0
"5223",28,"C:/Data/WebEye/36.asc",16352259,"RIGHT",6,0.31,0
"5322",28,"C:/Data/WebEye/36.asc",16352259,"RIGHT",7,0.5,0
"5422",28,"C:/Data/WebEye/36.asc",16352259,"RIGHT",8,0.12,0
"5523",28,"C:/Data/WebEye/36.asc",16515066,"RIGHT",0,0.32,162807
"5623",28,"C:/Data/WebEye/36.asc",16515066,"RIGHT",1,0.28,0
"5723",28,"C:/Data/WebEye/36.asc",16515066,"RIGHT",2,0.27,0
"5823",28,"C:/Data/WebEye/36.asc",16515066,"RIGHT",3,0.39,0
"5923",28,"C:/Data/WebEye/36.asc",16515066,"RIGHT",4,0.54,0
"6023",28,"C:/Data/WebEye/36.asc",16515066,"RIGHT",5,0.1,0
"6125",28,"C:/Data/WebEye/36.asc",16515066,"RIGHT",6,0.08,0
"6224",28,"C:/Data/WebEye/36.asc",16515066,"RIGHT",7,0.36,0
"6324",28,"C:/Data/WebEye/36.asc",16515066,"RIGHT",8,0.08,0
"6415",28,"C:/Data/WebEye/36.asc",16668616,"RIGHT",0,0.25,153550
"6513",28,"C:/Data/WebEye/36.asc",16668616,"RIGHT",1,0.13,0
"6613",28,"C:/Data/WebEye/36.asc",16668616,"RIGHT",2,0.26,0
"6714",28,"C:/Data/WebEye/36.asc",16668616,"RIGHT",3,0.34,0
"6815",28,"C:/Data/WebEye/36.asc",16668616,"RIGHT",4,0.37,0
"6915",28,"C:/Data/WebEye/36.asc",16668616,"RIGHT",5,0.3,0
"7015",28,"C:/Data/WebEye/36.asc",16668616,"RIGHT",6,0.22,0
"7119",28,"C:/Data/WebEye/36.asc",16668616,"RIGHT",7,0.21,0
"7216",28,"C:/Data/WebEye/36.asc",16668616,"RIGHT",8,0.44,0
"1103",29,"C:/Data/WebEye/37.asc",1415598,"RIGHT",0,0.56,0
"2102",29,"C:/Data/WebEye/37.asc",1415598,"RIGHT",1,0.24,0
"3103",29,"C:/Data/WebEye/37.asc",1415598,"RIGHT",2,0.45,0
"4104",29,"C:/Data/WebEye/37.asc",1415598,"RIGHT",3,0.26,0
"5104",29,"C:/Data/WebEye/37.asc",1415598,"RIGHT",4,0.08,0
"6104",29,"C:/Data/WebEye/37.asc",1415598,"RIGHT",5,0.5,0
"769",29,"C:/Data/WebEye/37.asc",1415598,"RIGHT",6,0.43,0
"837",29,"C:/Data/WebEye/37.asc",1415598,"RIGHT",7,0.03,0
"933",29,"C:/Data/WebEye/37.asc",1415598,"RIGHT",8,0.44,0
"1034",29,"C:/Data/WebEye/37.asc",1618125,"RIGHT",0,0.32,202527
"1127",29,"C:/Data/WebEye/37.asc",1618125,"RIGHT",1,0.37,0
"1222",29,"C:/Data/WebEye/37.asc",1618125,"RIGHT",2,0.41,0
"1320",29,"C:/Data/WebEye/37.asc",1618125,"RIGHT",3,0.68,0
"1420",29,"C:/Data/WebEye/37.asc",1618125,"RIGHT",4,0.54,0
"1520",29,"C:/Data/WebEye/37.asc",1618125,"RIGHT",5,0.55,0
"1620",29,"C:/Data/WebEye/37.asc",1618125,"RIGHT",6,0.54,0
"1720",29,"C:/Data/WebEye/37.asc",1618125,"RIGHT",7,0.67,0
"1820",29,"C:/Data/WebEye/37.asc",1618125,"RIGHT",8,0.61,0
"3419",29,"C:/Data/WebEye/37.asc",1787650,"RIGHT",6,0.24,1
"3519",29,"C:/Data/WebEye/37.asc",1787650,"RIGHT",7,0.56,0
"3619",29,"C:/Data/WebEye/37.asc",1787650,"RIGHT",8,0.4,0
"3722",29,"C:/Data/WebEye/37.asc",1921181,"RIGHT",0,0.53,133531
"3822",29,"C:/Data/WebEye/37.asc",1921181,"RIGHT",1,0.42,0
"3922",29,"C:/Data/WebEye/37.asc",1921181,"RIGHT",2,0.64,0
"4022",29,"C:/Data/WebEye/37.asc",1921181,"RIGHT",3,0.07,0
"4125",29,"C:/Data/WebEye/37.asc",1921181,"RIGHT",4,1.71,0
"4223",29,"C:/Data/WebEye/37.asc",1921181,"RIGHT",5,0.49,0
"4322",29,"C:/Data/WebEye/37.asc",1921181,"RIGHT",6,0.85,0
"4422",29,"C:/Data/WebEye/37.asc",1921181,"RIGHT",7,0.27,0
"4522",29,"C:/Data/WebEye/37.asc",1921181,"RIGHT",8,0.78,0
"4623",29,"C:/Data/WebEye/37.asc",2168256,"RIGHT",0,0.17,247075
"4723",29,"C:/Data/WebEye/37.asc",2168256,"RIGHT",1,0.48,0
"4823",29,"C:/Data/WebEye/37.asc",2168256,"RIGHT",2,0.67,0
"4923",29,"C:/Data/WebEye/37.asc",2168256,"RIGHT",3,1.1,0
"5023",29,"C:/Data/WebEye/37.asc",2168256,"RIGHT",4,1.37,0
"5126",29,"C:/Data/WebEye/37.asc",2168256,"RIGHT",5,1.09,0
"5224",29,"C:/Data/WebEye/37.asc",2168256,"RIGHT",6,1.27,0
"5323",29,"C:/Data/WebEye/37.asc",2168256,"RIGHT",7,0.91,0
"5423",29,"C:/Data/WebEye/37.asc",2168256,"RIGHT",8,0.22,0
"5524",29,"C:/Data/WebEye/37.asc",2352899,"RIGHT",0,0.5,184643
"5624",29,"C:/Data/WebEye/37.asc",2352899,"RIGHT",1,0.5,0
"5724",29,"C:/Data/WebEye/37.asc",2352899,"RIGHT",2,0.22,0
"5824",29,"C:/Data/WebEye/37.asc",2352899,"RIGHT",3,0.69,0
"5924",29,"C:/Data/WebEye/37.asc",2352899,"RIGHT",4,0.61,0
"6024",29,"C:/Data/WebEye/37.asc",2352899,"RIGHT",5,0.31,0
"6126",29,"C:/Data/WebEye/37.asc",2352899,"RIGHT",6,0.21,0
"6225",29,"C:/Data/WebEye/37.asc",2352899,"RIGHT",7,0.45,0
"6325",29,"C:/Data/WebEye/37.asc",2352899,"RIGHT",8,1,0
"6416",29,"C:/Data/WebEye/37.asc",2543239,"RIGHT",0,0.67,190340
"6514",29,"C:/Data/WebEye/37.asc",2543239,"RIGHT",1,0.7,0
"6614",29,"C:/Data/WebEye/37.asc",2543239,"RIGHT",2,1.8,0
"6715",29,"C:/Data/WebEye/37.asc",2543239,"RIGHT",3,0.06,0
"6816",29,"C:/Data/WebEye/37.asc",2543239,"RIGHT",4,0.49,0
"6916",29,"C:/Data/WebEye/37.asc",2543239,"RIGHT",5,1.28,0
"7016",29,"C:/Data/WebEye/37.asc",2543239,"RIGHT",6,1.35,0
"7120",29,"C:/Data/WebEye/37.asc",2543239,"RIGHT",7,1.13,0
"7217",29,"C:/Data/WebEye/37.asc",2543239,"RIGHT",8,0.63,0
"1104",30,"C:/Data/WebEye/38.asc",1127980,"RIGHT",0,0.42,0
"2103",30,"C:/Data/WebEye/38.asc",1127980,"RIGHT",1,0.82,0
"3104",30,"C:/Data/WebEye/38.asc",1127980,"RIGHT",2,0.33,0
"4105",30,"C:/Data/WebEye/38.asc",1127980,"RIGHT",3,0.24,0
"5105",30,"C:/Data/WebEye/38.asc",1127980,"RIGHT",4,0.42,0
"6105",30,"C:/Data/WebEye/38.asc",1127980,"RIGHT",5,0.16,0
"770",30,"C:/Data/WebEye/38.asc",1127980,"RIGHT",6,0.18,0
"838",30,"C:/Data/WebEye/38.asc",1127980,"RIGHT",7,0.05,0
"934",30,"C:/Data/WebEye/38.asc",1127980,"RIGHT",8,0.64,0
"1035",30,"C:/Data/WebEye/38.asc",1293858,"RIGHT",0,0.67,165878
"1128",30,"C:/Data/WebEye/38.asc",1293858,"RIGHT",1,0.07,0
"1223",30,"C:/Data/WebEye/38.asc",1293858,"RIGHT",2,0.41,0
"1321",30,"C:/Data/WebEye/38.asc",1293858,"RIGHT",3,0.28,0
"1421",30,"C:/Data/WebEye/38.asc",1293858,"RIGHT",4,0.37,0
"1521",30,"C:/Data/WebEye/38.asc",1293858,"RIGHT",5,0.6,0
"1621",30,"C:/Data/WebEye/38.asc",1293858,"RIGHT",6,0.35,0
