method,smoothing,parameter,RMSE_n_saccades,RMSE_mean_sacc_dur,RMSE_sd_sacc_dur,mean_error_n_saccades,mean_error_mean_sacc_dur,mean_error_sd_sacc_dur
EK03,sg,lambda_14,7.2761079962309205,14.816575262246184,NA,-6.864077669902914,-2.068611530342008,NA
EK03,sg,lambda_15,7.283776359708775,7.813202085692487,NA,-6.878640776699029,3.0015301945268194,NA
IDT,mean,disp_5,3.3566337737772565,154.9933428116202,103.96304089573299,-1.5776699029126242,-8.38481550534397,-3.5640264780903896
IDT,mean,disp_5.5,3.4189648123883205,156.53688672201793,112.37469782414335,-1.7864077669902894,-7.3176483672868935,-1.1565645852853628
IDT,mean,disp_6,3.5051972507963542,158.1648455022952,126.05552065329648,-2.043689320388347,-7.0199507724251395,1.9494933483573578
IDT,mean,disp_6.5,3.565612462538474,152.974847668221,80.36483091432383,-2.3252427184466016,-10.155701538267081,1.7853562040110484
IDT,mean,disp_4.5,3.5683343045092983,158.48342760126718,69.47950277615034,-1.3640776699029133,-11.265158106043087,-9.504110828159446
IDT,mean,disp_7,3.602183803658529,162.17324401674026,133.11579190510173,-2.451456310679608,-5.889488931439528,4.829820242620802
IDT,mean,disp_3.5,3.6377204000222254,159.32630144810145,69.60974441729982,-0.980582524271843,-11.048620285603254,-15.087878253668409
IDT,mean,disp_4,3.706462474876808,159.68785713118453,69.9675499813891,-1.242718446601942,-11.79108852129861,-13.030247932919766
IDT,mean,disp_3,3.7565476817733723,159.5149951082578,68.440859539896,-0.7038834951456345,-8.962011384909571,-11.267184872776618
IDT,mean,disp_7.5,3.833931288666186,151.89826190052855,92.89067285136954,-2.7669902912621387,-10.086502534624728,-2.4103818224813507
IDT,mean,disp_2.5,3.8736099918463704,159.88459138520582,68.06292546835776,-0.14077669902912862,-5.017174963081587,-7.863913507882835
IDT,mean,disp_8,4.0193705733392155,150.83571142909233,93.2474965034182,-3.0873786407766954,-10.382248165524583,-3.3128141662584056
IDT,mean,disp_2,4.338806600719443,160.26583379300052,68.73417182662021,0.3689320388349543,-1.0390459661067672,-5.493287703989071
IDT,mean,disp_1.5,4.9883359094623,157.43445376765612,68.99864650353524,1.0388349514563064,4.468807908521275,0.224788606162954
IDT,mean,disp_1,5.930831078487516,158.5309940054561,69.97111122643359,2.184466019417478,14.00705641111168,11.072276492579153
IDT,median,disp_4,2.906303828189263,158.60598528000014,116.86087355778362,-0.6407766990291243,-2.3184838676549275,8.585164608775797
IDT,median,disp_4.5,2.9088081835252875,157.52387492747633,125.3956751833605,-0.9951456310679633,-1.990596877152807,9.105144323311066
IDT,median,disp_3.5,2.9764447417969766,156.46681093307785,113.26771567703639,-0.3252427184466027,-2.245402065263806,8.043702956494895
IDT,median,disp_3,3.12055509127301,155.95780773073815,109.92456865322136,0.1456310679611655,-1.9396874439170961,6.522877897888356
IDT,median,disp_5.5,3.190550367959336,157.9776348396495,127.0586545501851,-1.781553398058254,-3.523868613329769,5.760772853066709
IDT,median,disp_5,3.1989075805246157,157.78343531436653,125.33902553960247,-1.553398058252427,-3.0024938069463616,6.240330870285255
IDT,median,disp_6,3.23136930306883,157.72401794261006,126.88214637418909,-2.004854368932036,-2.9171133293562006,6.245793630711487
IDT,median,disp_6.5,3.342140468714822,158.61676342126808,128.34628856448262,-2.237864077669906,-2.077928235867359,7.055761524020959
IDT,median,disp_2.5,3.5176393231494028,153.4442008644429,87.96009783301443,0.4805825242718443,-2.0636291366330166,3.103551035296211
IDT,median,disp_7,3.5403362245024543,162.20387902840375,134.31309760707862,-2.514563106796116,-2.698906114943696,9.168856299948072
IDT,median,disp_7.5,3.7031867672330114,162.83060961611233,135.77394117531378,-2.72330097087379,-1.9299768457622188,10.44638848508697
IDT,median,disp_8,3.8911150971192177,162.44518812838683,140.61709587397576,-3.014563106796116,-1.743103913921221,11.424711412314071
IDT,median,disp_2,4.124282814970875,154.815444947931,86.59888518281204,1.378640776699029,-1.0877653594389278,2.674877108557997
IDT,median,disp_1.5,5.563403302896492,156.23939196535622,85.52248300711747,2.6213592233009715,2.09974543882235,7.120643201908636
IDT,median,disp_1,6.4322458292393465,153.1927696520083,73.88718126744145,3.626213592233013,12.738388009534534,14.813637826369805
IDT,raw,disp_5.5,2.783446212078469,155.35962789925875,119.49454407209407,-0.7087378640776659,-1.9599057290431592,10.319896714328955
IDT,raw,disp_5,2.884508337570645,158.08897577939732,115.44809427244972,-0.3592233009708755,-3.178183250442533,8.425889768351277
IDT,raw,disp_6,2.899614972766432,154.85499775097836,116.915146117134,-1.1844660194174788,-3.3147112501087683,5.95341358899158
IDT,raw,disp_6.5,3.0417802656447805,157.01225444740027,123.02979077127505,-1.5242718446601953,-2.4222702198267756,7.3999744860007866
IDT,raw,disp_7,3.0963492439931084,157.28521237000282,124.72891922787844,-1.8300970873786373,-2.680307514805634,7.252504999334141
IDT,raw,disp_4.5,3.175299083841499,155.62080077297426,110.56155075819,-0.043689320388347,-3.808467181339967,6.590138492582786
IDT,raw,disp_7.5,3.279829500659756,157.52632640666386,125.8577539233938,-2.126213592233007,-2.3633940668246307,7.966387043202981
IDT,raw,disp_4,3.4267650118737265,154.1564911693237,99.07759317148388,0.5679611650485463,-4.128931569414419,4.036744247277118
IDT,raw,disp_8,3.506581883380792,158.97137441692144,124.64843315687969,-2.4805825242718482,-2.800830251680194,8.095748167191834
IDT,raw,disp_3.5,4.189677560177205,154.76034977111294,97.93652825746317,1.378640776699029,-2.545344739791401,7.245730699964705
IDT,raw,disp_1,4.30003386755685,223.3679707494538,147.09070360025413,-0.3834951456310666,108.44607454125855,84.05478785783069
IDT,raw,disp_3,5.070857149734125,154.5681180389117,93.5890024346212,2.2184466019417513,0.9879581780569314,9.908098687359278
